Gradient,Definition,Distance (km),Fuel (L),Fuel / km
Steep Down,≤ −8°,7.21,1.66,0.23
Flat,−3° to +3°,9.88,6.52,0.66
Steep Up,≥ +8°,7.21,8.67,1.45
